ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,168728,450630,130437,2024-02-25T09:29:38Z
2024-02-25 17:00:15,169205,451916,130681,2024-02-25T10:05:51Z
2024-02-25 18:00:15,169815,453766,131036,2024-02-25T11:05:26Z
2024-02-25 19:00:15,170199,454553,131184,2024-02-25T12:07:23Z
2024-02-25 20:00:16,170413,455209,131377,2024-02-25T13:05:58Z
2024-02-25 21:00:15,171045,456133,131596,2024-02-25T14:05:50Z
2024-02-25 22:00:15,171572,457594,132026,2024-02-25T15:05:30Z
2024-02-25 23:00:15,171572,457594,132026,2024-02-25T16:06:34Z
2024-02-26 00:00:15,171644,457739,132036,2024-02-25T17:05:52Z
2024-02-26 01:00:15,171644,457739,132036,2024-02-25T18:05:47Z
2024-02-26 02:00:15,171644,457739,132036,2024-02-25T19:05:50Z
2024-02-26 03:00:15,171682,457897,132080,2024-02-25T20:05:34Z
2024-02-26 04:00:15,171682,457897,132080,2024-02-25T21:05:35Z
2024-02-26 05:00:15,171682,457897,132080,2024-02-25T22:05:44Z
2024-02-26 06:00:15,171682,457897,132080,2024-02-25T23:05:52Z
2024-02-26 07:00:16,171682,457897,132080,2024-02-26T00:21:11Z
2024-02-26 08:00:15,171682,457897,132080,2024-02-26T01:27:16Z
2024-02-26 09:00:15,171682,457897,132080,2024-02-26T02:12:19Z
2024-02-26 10:00:15,171682,457897,132080,2024-02-26T03:06:26Z
2024-02-26 11:00:16,172261,458539,132243,2024-02-26T04:06:03Z
2024-02-26 12:00:15,172523,459074,132521,2024-02-26T05:06:08Z
2024-02-26 13:00:15,172523,459074,132521,2024-02-26T06:06:48Z
2024-02-26 14:00:15,172523,459074,132521,2024-02-26T07:06:18Z
2024-02-26 15:00:15,172705,459405,132595,2024-02-26T08:06:49Z
2024-02-26 16:00:15,172865,459606,132666,2024-02-26T09:06:01Z
2024-02-26 17:00:20,172865,459606,132666,2024-02-26T10:06:11Z
2024-02-26 18:00:15,172865,459606,132666,2024-02-26T11:05:35Z
2024-02-26 19:00:15,172865,459606,132666,2024-02-26T12:07:54Z
2024-02-26 20:00:15,172865,459606,132666,2024-02-26T13:05:51Z
2024-02-26 21:00:15,172865,459606,132666,2024-02-26T14:06:04Z
2024-02-26 22:00:15,172960,459836,132757,2024-02-26T15:06:08Z
2024-02-26 23:00:16,172960,459836,132757,2024-02-26T16:06:24Z
2024-02-27 00:00:15,172960,459836,132757,2024-02-26T17:05:57Z
2024-02-27 01:00:16,172960,459836,132757,2024-02-26T18:06:13Z
2024-02-27 02:00:15,172960,459836,132757,2024-02-26T19:05:55Z
2024-02-27 03:00:15,172960,459836,132757,2024-02-26T20:06:02Z
2024-02-27 04:00:15,172960,459836,132757,2024-02-26T21:06:03Z
2024-02-27 05:00:16,172960,459836,132757,2024-02-26T22:06:49Z
2024-02-27 06:00:15,172960,459836,132757,2024-02-26T23:06:09Z
2024-02-27 07:00:15,172960,459836,132757,2024-02-27T00:20:12Z
2024-02-27 08:00:15,172960,459836,132757,2024-02-27T01:25:16Z
2024-02-27 09:00:15,172960,459836,132757,2024-02-27T02:09:55Z
2024-02-27 10:00:16,172960,459836,132757,2024-02-27T03:05:50Z
2024-02-27 11:00:16,172960,459836,132757,2024-02-27T04:06:44Z
2024-02-27 12:00:15,172960,459836,132757,2024-02-27T05:06:51Z
2024-02-27 13:00:15,173027,459956,132825,2024-02-27T06:06:32Z
2024-02-27 14:00:15,173027,459956,132825,2024-02-27T07:06:22Z
2024-02-27 15:00:15,173027,459956,132825,2024-02-27T08:06:31Z
2024-02-27 16:00:16,173027,459956,132825,2024-02-27T09:05:46Z
2024-02-27 17:00:16,173027,459956,132825,2024-02-27T10:06:21Z
2024-02-27 18:00:16,173027,459956,132825,2024-02-27T11:05:40Z
2024-02-27 19:00:15,173027,459956,132825,2024-02-27T12:07:29Z
2024-02-27 20:00:15,173027,459956,132825,2024-02-27T13:05:33Z
2024-02-27 21:00:19,173027,459956,132825,2024-02-27T14:05:54Z
2024-02-27 22:00:15,173084,460383,132968,2024-02-27T15:05:47Z
2024-02-27 23:00:16,173084,460383,132968,2024-02-27T16:06:04Z
2024-02-28 00:00:15,173084,460383,132968,2024-02-27T17:06:35Z
2024-02-28 01:00:15,173084,460383,132968,2024-02-27T18:06:47Z
2024-02-28 02:00:15,173084,460383,132968,2024-02-27T19:05:48Z
2024-02-28 03:00:15,173084,460383,132968,2024-02-27T20:06:06Z
2024-02-28 04:00:15,173084,460383,132968,2024-02-27T21:05:30Z
2024-02-28 05:00:15,173084,460383,132968,2024-02-27T22:05:59Z
2024-02-28 06:00:16,173084,460383,132968,2024-02-27T23:05:55Z
2024-02-28 07:00:15,173084,460383,132968,2024-02-28T00:19:26Z
2024-02-28 08:00:15,173084,460383,132968,2024-02-28T01:25:48Z
2024-02-28 09:00:15,173084,460383,132968,2024-02-28T02:10:45Z
2024-02-28 10:00:15,173084,460383,132968,2024-02-28T03:05:55Z
2024-02-28 11:00:15,173084,460383,132968,2024-02-28T04:06:56Z
2024-02-28 12:00:15,173084,460383,132968,2024-02-28T05:05:58Z
2024-02-28 13:00:16,173084,460383,132968,2024-02-28T06:06:22Z
2024-02-28 14:00:16,173084,460383,132968,2024-02-28T07:05:48Z
2024-02-28 15:00:15,173084,460383,132968,2024-02-28T08:06:54Z
2024-02-28 16:00:15,173084,460383,132968,2024-02-28T09:06:01Z
2024-02-28 17:00:16,173084,460383,132968,2024-02-28T10:05:45Z
2024-02-28 18:00:15,173084,460383,132968,2024-02-28T11:05:50Z
2024-02-28 19:00:15,173708,460988,133057,2024-02-28T12:07:55Z
2024-02-28 20:00:15,173832,461089,133069,2024-02-28T13:05:39Z
2024-02-28 21:00:15,174035,461226,133090,2024-02-28T14:05:39Z
2024-02-28 22:00:15,174099,461314,133112,2024-02-28T15:06:06Z
2024-02-28 23:00:15,174099,461314,133112,2024-02-28T16:06:02Z
2024-02-29 00:00:16,174099,461314,133112,2024-02-28T17:05:52Z
2024-02-29 01:00:15,174099,461314,133112,2024-02-28T18:05:57Z
2024-02-29 02:00:15,174099,461314,133112,2024-02-28T19:05:41Z
2024-02-29 03:00:15,174099,461314,133112,2024-02-28T20:06:20Z
2024-02-29 04:00:15,174099,461314,133112,2024-02-28T21:05:56Z
2024-02-29 05:00:16,174099,461314,133112,2024-02-28T22:05:46Z
2024-02-29 06:00:15,174099,461314,133112,2024-02-28T23:06:34Z
2024-02-29 07:00:15,174099,461314,133112,2024-02-29T00:20:10Z
