ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-25 23:07:04,2024-02-25T17:05:52Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 00:07:05,2024-02-25T18:05:47Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 01:07:03,2024-02-25T19:05:50Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 02:07:02,2024-02-25T20:05:34Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 03:07:03,2024-02-25T21:05:35Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 04:07:29,2024-02-25T22:05:44Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 05:07:04,2024-02-25T23:05:52Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 06:07:03,2024-02-26T00:21:11Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 07:07:03,2024-02-26T01:27:16Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 08:07:03,2024-02-26T02:12:19Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 09:07:03,2024-02-26T03:06:26Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 10:07:15,2024-02-26T04:06:03Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 11:07:10,2024-02-26T05:06:08Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 12:07:11,2024-02-26T06:06:48Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 13:07:16,2024-02-26T07:06:18Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 14:07:09,2024-02-26T08:06:49Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 15:07:08,2024-02-26T09:06:01Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,763,938,715,47
2024-02-26 16:07:21,2024-02-26T10:06:11Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 17:07:17,2024-02-26T11:05:35Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 18:07:10,2024-02-26T12:07:54Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 19:07:11,2024-02-26T13:05:51Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 20:07:14,2024-02-26T14:06:04Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 21:07:14,2024-02-26T15:06:08Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 22:07:12,2024-02-26T16:06:24Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-26 23:07:11,2024-02-26T17:05:57Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 00:07:11,2024-02-26T18:06:13Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 01:07:08,2024-02-26T19:05:55Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 02:07:09,2024-02-26T20:06:02Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 03:07:06,2024-02-26T21:06:03Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 04:07:09,2024-02-26T22:06:49Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 05:07:07,2024-02-26T23:06:09Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 07:07:06,2024-02-27T00:20:12Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 08:07:07,2024-02-27T01:25:16Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 09:07:08,2024-02-27T02:09:55Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 09:07:08,2024-02-27T03:05:50Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 10:07:09,2024-02-27T04:06:44Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 11:07:10,2024-02-27T05:06:51Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 12:07:10,2024-02-27T06:06:32Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 13:07:10,2024-02-27T07:06:22Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 14:07:11,2024-02-27T08:06:31Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 15:07:21,2024-02-27T09:05:46Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 16:07:17,2024-02-27T10:06:21Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 17:07:19,2024-02-27T11:05:40Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 18:07:11,2024-02-27T12:07:29Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 19:07:12,2024-02-27T13:05:33Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
2024-02-27 20:07:12,2024-02-27T14:05:54Z,1434,3726,3821,13514,4999,283,426,2605,128,2700,192,3455,261,6803,798,938,715,47
